"Requirement ID","Source Section","Source Title","Source Line","Source Form","Source Statement","Normalized Atomic Requirement","Disposition","Review Method","Atomicity Status","Horizon","Implementation Phase","Epic IDs","Story IDs","Acceptance Criteria IDs","Test IDs","Implementation Evidence","Notes"
"MSR-000-6A415B9007","0","Preamble","6","bullet","Chief Product Officer","The platform must support Chief Product Officer within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-F9685DD1EB","0","Preamble","7","bullet","Subscription-economy domain architect","The platform must support Subscription-economy domain architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-C4E1680ECA","0","Preamble","8","bullet","Payments architect","The platform must support Payments architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-BA7CF5BF11","0","Preamble","9","bullet","ERP/financial systems architect","The platform must support ERP/financial systems architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-FE881A926B","0","Preamble","10","bullet","Principal software architect","The platform must support Principal software architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-5ACE834239","0","Preamble","11","bullet","UX design lead","The platform must support UX design lead within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-7C3F003D1E","0","Preamble","12","bullet","Data architect","The platform must support Data architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-184AC89A22","0","Preamble","13","bullet","AI/ML architect","The platform must support AI/ML architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-2D525CB499","0","Preamble","14","bullet","FinOps architect","The platform must support FinOps architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
"MSR-000-32450AB6E3","0","Preamble","15","bullet","Security architect","The platform must support Security architect within preamble.","parent_context","deterministic_source_normalization","context_only","Cross-horizon","Cross-horizon","","","","","","Retained as context; delivery coverage is carried by child candidates."
