"Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Parent","External ID","Labels","Priority","Status","Implementation Status","Progress","Acceptance Criteria","Requirement IDs","Test IDs","Implementation Phase","Source"
"18","Story","Propagate trusted tenant context","As a Platform engineer, I want propagate trusted tenant context, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-BL-001-01","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-001-01-01 | Given verified membership in tenant A, when a request enters the application, tenant A is propagated through asynchronous work without accepting a body override. | Requirements:  | Tests: TC-001-01-01;TC-001-01-02;TC-001-01-03
AC-BL-001-01-02 | Given a principal without membership, access is denied before a domain transaction begins. | Requirements:  | Tests: TC-001-01-01;TC-001-01-02;TC-001-01-03
AC-BL-001-01-REQ-082-8E4D03300F | Tenant ID must be enforced throughout storage and access layers. | Requirements: MSR-082-8E4D03300F | Tests: TC-001-01-02;TC-001-01-03","MSR-082-8E4D03300F","TC-001-01-01;TC-001-01-02;TC-001-01-03","Phase 0","BL-001-01"
"19","Story","Execute commands idempotently","As a API consumer, I want execute commands idempotently, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-BL-001-02","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-001-02-01 | An identical retry with the same tenant, command, key and payload returns the original response without another effect. | Requirements:  | Tests: TC-001-02-01;TC-001-02-02;TC-001-02-03
AC-BL-001-02-02 | Reusing the key with a different canonical payload returns a 409 conflict. | Requirements:  | Tests: TC-001-02-01;TC-001-02-02;TC-001-02-03
AC-BL-001-02-REQ-058-C69192855F | All financial APIs must protect against duplicate execution. | Requirements: MSR-058-C69192855F | Tests: TC-001-02-01;TC-001-02-02;TC-001-02-03
AC-BL-001-02-REQ-058-2CCE1DD0DC | Repeating the same request must not charge a customer twice. | Requirements: MSR-058-2CCE1DD0DC | Tests: TC-001-02-01;TC-001-02-02
AC-BL-001-02-REQ-100-D1A3F8F46A | Retries must never create a duplicate charge. | Requirements: MSR-100-D1A3F8F46A | Tests: TC-001-02-01;TC-001-02-02","MSR-058-C69192855F;MSR-058-2CCE1DD0DC;MSR-100-D1A3F8F46A","TC-001-02-01;TC-001-02-02;TC-001-02-03","Phase 0","BL-001-02"
"20","Story","Dispatch transactional outbox events","As a Integration engineer, I want dispatch transactional outbox events, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-BL-001-03","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-001-03-01 | A domain mutation and its outbox record commit or roll back in one transaction. | Requirements:  | Tests: TC-001-03-01;TC-001-03-02
AC-BL-001-03-02 | After a dispatcher failure, the event is retried and consumers deduplicate it by event ID. | Requirements:  | Tests: TC-001-03-01;TC-001-03-02","","TC-001-03-01;TC-001-03-02","Phase 0","BL-001-03"
"21","Story","Enforce RLS and repository tenant filters","As a Security engineer, I want enforce rls and repository tenant filters, so that trusted context, reliable commands, durable events and shared platform controls.","","SUB-E001","1","US-BL-001-04","sintius phase-0 master-specification","Medium","Done","implemented","100","AC-BL-001-04-01 | Every tenant-owned table has forced RLS and every repository requires trusted tenant context. | Requirements:  | Tests: TC-001-04-01;TC-001-04-02
AC-BL-001-04-02 | Tenant A cannot read, insert, update or delete tenant B data even if an application filter is bypassed. | Requirements:  | Tests: TC-001-04-01;TC-001-04-02
AC-BL-001-04-REQ-082-83D62B3FFC | The platform must support shared multi-tenant SaaS with enforced isolation. | Requirements: MSR-082-83D62B3FFC | Tests: TC-001-04-01
AC-BL-001-04-REQ-082-A110A8A3AA | Strong tenant isolation is mandatory at application and database layers. | Requirements: MSR-082-A110A8A3AA | Tests: TC-001-04-01
AC-BL-001-04-REQ-082-8E4D03300F | Tenant ID must be enforced throughout storage and access layers. | Requirements: MSR-082-8E4D03300F | Tests: TC-001-04-01;TC-001-04-02
