"Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Parent","External ID","Labels","Priority","Status","Implementation Status","Progress","Acceptance Criteria","Requirement IDs","Test IDs","Implementation Phase","Source"
"1","Epic","Platform Foundation","Trusted context, reliable commands, durable events and shared platform controls.","SUB-E001","","","SUB-E001","sintius master-specification","High","In Progress","","","","","","Multi-horizon","SUB-001"
"2","Epic","Identity & Tenancy","Tenant lifecycle, authentication, authorization and controlled administrative access.","SUB-E002","","","SUB-E002","sintius master-specification","High","In Progress","","","","","","Multi-horizon","SUB-002"
"3","Epic","Customer Management","Stable commercial parties, billing accounts and support views.","SUB-E003","","","SUB-E003","sintius master-specification","High","To Do","","","","","","Phase 1","SUB-003"
"4","Epic","Product Catalog","Versioned products, offers, plans and future contract configuration.","SUB-E004","","","SUB-E004","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-004"
"5","Epic","Pricing Engine","Deterministic pricing composition, simulation and advanced monetization.","SUB-E005","","","SUB-E005","sintius master-specification","High","In Progress","","","","","","Multi-horizon","SUB-005"
"6","Epic","Subscription Lifecycle","Effective-dated subscription change and future entitlement control.","SUB-E006","","","SUB-E006","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-006"
"7","Epic","Billing Engine","Scheduled, restartable billing execution and invoice assembly.","SUB-E007","","","SUB-E007","sintius master-specification","High","To Do","","","","","","Phase 2","SUB-007"
"8","Epic","Invoice Management","Legal invoice lifecycle, receivables, corrections and future global accounting.","SUB-E008","","","SUB-E008","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-008"
"9","Epic","Payments","Provider-neutral payments, allocation, refunds and future orchestration.","SUB-E009","","","SUB-E009","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-009"
"10","Epic","Subscriber Portal","Account-scoped, transparent subscriber self-service.","SUB-E010","","","SUB-E010","sintius master-specification","High","To Do","","","","","","Phase 4","SUB-010"
"11","Epic","Usage & Metering","Durable usage ingestion, rating and future high-scale mediation.","SUB-E011","","","SUB-E011","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-011"
"12","Epic","Collections","Explainable preventive collections and future arrangement workflows.","SUB-E012","","","SUB-E012","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-012"
"13","Epic","Notifications","Versioned communications across email and future channels.","SUB-E013","","","SUB-E013","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-013"
"14","Epic","Analytics","Versioned KPIs and future self-service analytics.","SUB-E014","","","SUB-E014","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-014"
"15","Epic","AI Revenue Intelligence","Grounded assistance and policy-governed autonomy.","SUB-E015","","","SUB-E015","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-015"
"16","Epic","Integration Framework","Connector primitives, webhooks and future enterprise integration governance.","SUB-E016","","","SUB-E016","sintius master-specification","High","To Do","","","","","","Multi-horizon","SUB-016"
"17","Epic","Audit & Compliance","Immutable evidence, isolation certification and enterprise operational governance.","SUB-E017","","","SUB-E017","sintius master-specification","High","In Progress","","","","","","Multi-horizon","SUB-017"
